ID,Original_Name,Name,Description
l-specific-known,specific known,Markers for ‘specific known’,
l-specific-unknown,specific unknown,Markers for ‘specific unknown’,
l-irrealis-nsp,irrealis nsp,Markers for ‘irrealis non-specific’,
l-question,question,Markers for ‘question’,
l-conditional,conditional,Markers for ‘conditional’,
l-indirect-negation,indirect negation,Markers for ‘indirect negation’,
l-direct-negation,direct negation,Markers for ‘direct negation’,
l-comparative,comparative,Markers for ‘comparative’,
l-free-choice,free choice,Markers for ‘free choice’,
