Language,Glottocode,Source,Source_comment
German,stan1295,,personal knowledge
Dutch,dutc1256,geerts1984; paardekooper1978; paardekooper1979,"Leon Stassen, Kees Hengeveld, Jan Rijkhoff (p.c.)"
English,stan1293,sahlin1979; tesch1990,
Swedish,swed1254,,Östen Dahl (p.c.)
Icelandic,icel1247,,"Halldór Sigurðsson, p.c."
Latin,lati1261,orlandini1981; orlandini1983; hahn1933; mellet1992; mellet1994; kuehner1914; serbat1985,
Portuguese,port1283,,"Lourenço C. Finatti, p.c."
Catalan,stan1289,lleo1983; esposito1988; hualde1992; sola1973,
French,stan1290,gaatone1971; culioli1983,
Italian,ital1282,,"Paolo Ramat, Davide Ricca, p.c."
Romanian,roma1327,berea1980; graur1939; manoliu-manea1966,"Beatrice Primus, p.c."
Modern Greek,mode1248,veloudis1982; dhelverudhi1989; giannakidou1993; giannakidou1994a; giannakidou1994b; tsimpli1993,"Anastasia Christofidou, Soteria Svorou, Axel Theofilidis, Artemis Alexiadou, p.c."
Bulgarian,bulg1262,blazev1980; donceva1970; dogramadzieva1974; mostovska1988; kirova1986; nicolova1972; nicolova1978; nicolova1986; guentcheva1981,"Tania Kuteva, Pavlina Vlajkova, p.c."
Serbian/Croatian,sout1528,progovac1988; progovac1990; progovac1991; progovac1992; progovac1994,
Polish,poli1260,grzegorczykowa1972,"Thomas H. Bak, p.c."
Russian,russ1263,galkina-fedoruk1963; veyrenc1964; rybak1965; rybak1975; dahl1970; malovickij1971; ruzicka1973; paduceva1974; paduceva1985; seliverstova1964; seliverstova1988,"Maria Koptjevskaja-Tamm, Vera Podlesskaya, Elena Kalinina, p.c."
Lithuanian,lith1251,pilka1984; ambrazas1985,"Emma Geniušienė, Greta Lemanaitė, p.c."
Latvian,latv1249,,"Ivonna Wagner, p.c."
Irish,iris1253,de_bhaldraithe1959; o_donaill1977,"Dónall P. Ó Baoill, p.c."
Ossetic,osse1243,kulaev1958; axvlediani1963; bagaev1965,"Zarema Xubecova, p.c."
Persian,west2369,,"Parviz Rostampour, p.c."
Hindi-Urdu,hind1269,bhatia1978; davison1978b; davison1978a; mahajan1990,"Sangeeta Sharma, p.c."
Turkish,nucl1301,xovratovic1989,"Fethi Inan, p.c."
Kazakh,kaza1248,sauranbaev1954,"Kusain Rsaldinov, p.c."
Yakut,yaku1245,afanasev1968; ubrjatova1982,
Hungarian,hung1274,stephanides1983; stephanides1985; hunyadi1987,"Edith Moravcsik, p.c."
Finnish,finn1318,,"Juhani Rudanko, Angela Bartens, Hannu Tommola, p.c."
Lezgian,lezg1247,haspelmath1993,
Maltese,malt1254,haspelmath1996,
Modern Hebrew,hebr1245,glinert1982; glinert1989,"David Gil, p.c."
Nanay,nana1257,onenko1980; onenko1986,
Swahili,swah1253,,
Hausa,haus1257,manewman1990; attouman1984; abraham1946,"Marit Lobben, p.c."
Georgian,nucl1302,tschenkeli1958; vogt1971,"Revaz Tchantouria, Winfried Boeder, p.c."
Kannada,nucl1305,bhat1981; sridhar1990,"Anilkumar Belvadi,  D.N.S. Bhat, p.c."
Mandarin Chinese,mand1415,li1992; li1981; tsai1990,"Fengxiang Li, Wenfang Zhang, p.c."
Ancash Quechua,apam1237,,"Hernán Aguilar, p.c."
Japanese,nucl1643,mcgloin1976; ohno1984,"Masa Koizumi, Yoshiko Ono, p.c."
Korean,kore1280,martin1986; chang1994,"Hee-Rahk Chae, Kyu-Ryun Choi, and Du-Pyo Hong, p.c."
Basque,basq1248,saltarelli1988; aulestia1989,"Karmele Rotaetxe, José Hualde, p.c."
