ID,Parameter_ID,Construction_ID,Code_ID,Value
stan1295-jeder-c-irrealis-nsp,c-irrealis-nsp,stan1295-jeder,c-irrealis-nsp-no,no
stan1295-jeder-c-question,c-question,stan1295-jeder,c-question-no,no
stan1295-jeder-c-conditional,c-conditional,stan1295-jeder,c-conditional-no,no
stan1295-jeder-c-indirect-negation,c-indirect-negation,stan1295-jeder,c-indirect-negation-yes,yes
stan1295-jeder-c-direct-negation,c-direct-negation,stan1295-jeder,c-direct-negation-no,no
stan1295-jeder-c-comparative,c-comparative,stan1295-jeder,c-comparative-yes,yes
stan1295-jeder-c-free-choice,c-free-choice,stan1295-jeder,c-free-choice-yes,yes
stan1295-n--c-specific-known,c-specific-known,stan1295-n-,c-specific-known-no,no
stan1295-n--c-specific-unknown,c-specific-unknown,stan1295-n-,c-specific-unknown-no,no
stan1295-n--c-irrealis-nsp,c-irrealis-nsp,stan1295-n-,c-irrealis-nsp-no,no
stan1295-n--c-question,c-question,stan1295-n-,c-question-no,no
stan1295-n--c-conditional,c-conditional,stan1295-n-,c-conditional-no,no
stan1295-n--c-indirect-negation,c-indirect-negation,stan1295-n-,c-indirect-negation-no,no
stan1295-n--c-direct-negation,c-direct-negation,stan1295-n-,c-direct-negation-yes,yes
stan1295-n--c-comparative,c-comparative,stan1295-n-,c-comparative-no,no
stan1295-n--c-free-choice,c-free-choice,stan1295-n-,c-free-choice-no,no
dutc1256-enig-c-specific-known,c-specific-known,dutc1256-enig,c-specific-known-no,no
dutc1256-enig-c-specific-unknown,c-specific-unknown,dutc1256-enig,c-specific-unknown-no,no
dutc1256-enig-c-irrealis-nsp,c-irrealis-nsp,dutc1256-enig,c-irrealis-nsp-no,no
dutc1256-enig-c-question,c-question,dutc1256-enig,c-question-yes,yes
dutc1256-enig-c-conditional,c-conditional,dutc1256-enig,c-conditional-yes,yes
dutc1256-enig-c-indirect-negation,c-indirect-negation,dutc1256-enig,c-indirect-negation-yes,yes
dutc1256-enig-c-direct-negation,c-direct-negation,dutc1256-enig,c-direct-negation-no,no
dutc1256-enig-c-comparative,c-comparative,dutc1256-enig,c-comparative-yes,yes
dutc1256-enig-c-free-choice,c-free-choice,dutc1256-enig,c-free-choice-no,no
dutc1256-iets-c-specific-known,c-specific-known,dutc1256-iets,c-specific-known-yes,yes
dutc1256-iets-c-specific-unknown,c-specific-unknown,dutc1256-iets,c-specific-unknown-yes,yes
dutc1256-iets-c-irrealis-nsp,c-irrealis-nsp,dutc1256-iets,c-irrealis-nsp-yes,yes
dutc1256-iets-c-question,c-question,dutc1256-iets,c-question-yes,yes
dutc1256-iets-c-conditional,c-conditional,dutc1256-iets,c-conditional-yes,yes
dutc1256-iets-c-indirect-negation,c-indirect-negation,dutc1256-iets,c-indirect-negation-yes,yes
dutc1256-iets-c-direct-negation,c-direct-negation,dutc1256-iets,c-direct-negation-no,no
dutc1256-iets-c-comparative,c-comparative,dutc1256-iets,c-comparative-no,no
dutc1256-iets-c-free-choice,c-free-choice,dutc1256-iets,c-free-choice-no,no
dutc1256-niets-c-specific-known,c-specific-known,dutc1256-niets,c-specific-known-no,no
dutc1256-niets-c-specific-unknown,c-specific-unknown,dutc1256-niets,c-specific-unknown-no,no
dutc1256-niets-c-irrealis-nsp,c-irrealis-nsp,dutc1256-niets,c-irrealis-nsp-no,no
dutc1256-niets-c-question,c-question,dutc1256-niets,c-question-no,no
dutc1256-niets-c-conditional,c-conditional,dutc1256-niets,c-conditional-no,no
dutc1256-niets-c-indirect-negation,c-indirect-negation,dutc1256-niets,c-indirect-negation-no,no
dutc1256-niets-c-direct-negation,c-direct-negation,dutc1256-niets,c-direct-negation-yes,yes
dutc1256-niets-c-comparative,c-comparative,dutc1256-niets,c-comparative-no,no
dutc1256-niets-c-free-choice,c-free-choice,dutc1256-niets,c-free-choice-no,no
stan1293-any-c-specific-known,c-specific-known,stan1293-any,c-specific-known-no,no
stan1293-any-c-specific-unknown,c-specific-unknown,stan1293-any,c-specific-unknown-no,no
stan1293-any-c-irrealis-nsp,c-irrealis-nsp,stan1293-any,c-irrealis-nsp-no,no
stan1293-any-c-question,c-question,stan1293-any,c-question-yes,yes
stan1293-any-c-conditional,c-conditional,stan1293-any,c-conditional-yes,yes
stan1293-any-c-indirect-negation,c-indirect-negation,stan1293-any,c-indirect-negation-yes,yes
stan1293-any-c-direct-negation,c-direct-negation,stan1293-any,c-direct-negation-yes,yes
stan1293-any-c-comparative,c-comparative,stan1293-any,c-comparative-yes,yes
stan1293-any-c-free-choice,c-free-choice,stan1293-any,c-free-choice-yes,yes
stan1293-ever-c-specific-known,c-specific-known,stan1293-ever,c-specific-known-no,no
stan1293-ever-c-specific-unknown,c-specific-unknown,stan1293-ever,c-specific-unknown-no,no
stan1293-ever-c-irrealis-nsp,c-irrealis-nsp,stan1293-ever,c-irrealis-nsp-no,no
stan1293-ever-c-question,c-question,stan1293-ever,c-question-yes,yes
stan1293-ever-c-conditional,c-conditional,stan1293-ever,c-conditional-yes,yes
stan1293-ever-c-indirect-negation,c-indirect-negation,stan1293-ever,c-indirect-negation-yes,yes
stan1293-ever-c-direct-negation,c-direct-negation,stan1293-ever,c-direct-negation-yes,yes
stan1293-ever-c-comparative,c-comparative,stan1293-ever,c-comparative-yes,yes
stan1293-ever-c-free-choice,c-free-choice,stan1293-ever,c-free-choice-no,no
stan1293-no-c-specific-known,c-specific-known,stan1293-no,c-specific-known-no,no
stan1293-no-c-specific-unknown,c-specific-unknown,stan1293-no,c-specific-unknown-no,no
stan1293-no-c-irrealis-nsp,c-irrealis-nsp,stan1293-no,c-irrealis-nsp-no,no
stan1293-no-c-question,c-question,stan1293-no,c-question-no,no
stan1293-no-c-conditional,c-conditional,stan1293-no,c-conditional-no,no
stan1293-no-c-indirect-negation,c-indirect-negation,stan1293-no,c-indirect-negation-no,no
stan1293-no-c-direct-negation,c-direct-negation,stan1293-no,c-direct-negation-yes,yes
stan1293-no-c-comparative,c-comparative,stan1293-no,c-comparative-no,no
stan1293-no-c-free-choice,c-free-choice,stan1293-no,c-free-choice-no,no
stan1293-some-c-specific-known,c-specific-known,stan1293-some,c-specific-known-yes,yes
stan1293-some-c-specific-unknown,c-specific-unknown,stan1293-some,c-specific-unknown-yes,yes
stan1293-some-c-irrealis-nsp,c-irrealis-nsp,stan1293-some,c-irrealis-nsp-yes,yes
stan1293-some-c-question,c-question,stan1293-some,c-question-yes,yes
stan1293-some-c-conditional,c-conditional,stan1293-some,c-conditional-yes,yes
stan1293-some-c-indirect-negation,c-indirect-negation,stan1293-some,c-indirect-negation-no,no
stan1293-some-c-direct-negation,c-direct-negation,stan1293-some,c-direct-negation-no,no
stan1293-some-c-comparative,c-comparative,stan1293-some,c-comparative-no,no
stan1293-some-c-free-choice,c-free-choice,stan1293-some,c-free-choice-no,no
swed1254-ingen-c-specific-known,c-specific-known,swed1254-ingen,c-specific-known-no,no
swed1254-ingen-c-specific-unknown,c-specific-unknown,swed1254-ingen,c-specific-unknown-no,no
swed1254-ingen-c-irrealis-nsp,c-irrealis-nsp,swed1254-ingen,c-irrealis-nsp-no,no
swed1254-ingen-c-question,c-question,swed1254-ingen,c-question-no,no
swed1254-ingen-c-conditional,c-conditional,swed1254-ingen,c-conditional-no,no
swed1254-ingen-c-indirect-negation,c-indirect-negation,swed1254-ingen,c-indirect-negation-no,no
swed1254-ingen-c-direct-negation,c-direct-negation,swed1254-ingen,c-direct-negation-yes,yes
swed1254-ingen-c-comparative,c-comparative,swed1254-ingen,c-comparative-no,no
swed1254-ingen-c-free-choice,c-free-choice,swed1254-ingen,c-free-choice-no,no
swed1254-nagon-c-specific-known,c-specific-known,swed1254-nagon,c-specific-known-yes,yes
swed1254-nagon-c-specific-unknown,c-specific-unknown,swed1254-nagon,c-specific-unknown-yes,yes
swed1254-nagon-c-irrealis-nsp,c-irrealis-nsp,swed1254-nagon,c-irrealis-nsp-yes,yes
swed1254-nagon-c-question,c-question,swed1254-nagon,c-question-yes,yes
swed1254-nagon-c-conditional,c-conditional,swed1254-nagon,c-conditional-yes,yes
swed1254-nagon-c-indirect-negation,c-indirect-negation,swed1254-nagon,c-indirect-negation-yes,yes
swed1254-nagon-c-direct-negation,c-direct-negation,swed1254-nagon,c-direct-negation-yes,yes
swed1254-nagon-c-comparative,c-comparative,swed1254-nagon,c-comparative-yes,yes
swed1254-nagon-c-free-choice,c-free-choice,swed1254-nagon,c-free-choice-no,no
swed1254-somhelst-c-specific-known,c-specific-known,swed1254-somhelst,c-specific-known-no,no
swed1254-somhelst-c-specific-unknown,c-specific-unknown,swed1254-somhelst,c-specific-unknown-no,no
swed1254-somhelst-c-irrealis-nsp,c-irrealis-nsp,swed1254-somhelst,c-irrealis-nsp-no,no
swed1254-somhelst-c-question,c-question,swed1254-somhelst,c-question-no,no
swed1254-somhelst-c-conditional,c-conditional,swed1254-somhelst,c-conditional-no,no
swed1254-somhelst-c-indirect-negation,c-indirect-negation,swed1254-somhelst,c-indirect-negation-no,no
swed1254-somhelst-c-direct-negation,c-direct-negation,swed1254-somhelst,c-direct-negation-no,no
swed1254-somhelst-c-comparative,c-comparative,swed1254-somhelst,c-comparative-yes,yes
swed1254-somhelst-c-free-choice,c-free-choice,swed1254-somhelst,c-free-choice-yes,yes
icel1247-enginn-c-specific-known,c-specific-known,icel1247-enginn,c-specific-known-no,no
icel1247-enginn-c-specific-unknown,c-specific-unknown,icel1247-enginn,c-specific-unknown-no,no
icel1247-enginn-c-irrealis-nsp,c-irrealis-nsp,icel1247-enginn,c-irrealis-nsp-no,no
icel1247-enginn-c-question,c-question,icel1247-enginn,c-question-no,no
icel1247-enginn-c-conditional,c-conditional,icel1247-enginn,c-conditional-no,no
icel1247-enginn-c-indirect-negation,c-indirect-negation,icel1247-enginn,c-indirect-negation-no,no
icel1247-enginn-c-direct-negation,c-direct-negation,icel1247-enginn,c-direct-negation-yes,yes
icel1247-enginn-c-comparative,c-comparative,icel1247-enginn,c-comparative-no,no
icel1247-enginn-c-free-choice,c-free-choice,icel1247-enginn,c-free-choice-no,no
icel1247-n--c-specific-known,c-specific-known,icel1247-n-,c-specific-known-no,no
icel1247-n--c-specific-unknown,c-specific-unknown,icel1247-n-,c-specific-unknown-no,no
icel1247-n--c-irrealis-nsp,c-irrealis-nsp,icel1247-n-,c-irrealis-nsp-no,no
icel1247-n--c-question,c-question,icel1247-n-,c-question-no,no
icel1247-n--c-conditional,c-conditional,icel1247-n-,c-conditional-no,no
icel1247-n--c-indirect-negation,c-indirect-negation,icel1247-n-,c-indirect-negation-yes,yes
icel1247-n--c-direct-negation,c-direct-negation,icel1247-n-,c-direct-negation-yes,yes
icel1247-n--c-comparative,c-comparative,icel1247-n-,c-comparative-no,no
icel1247-n--c-free-choice,c-free-choice,icel1247-n-,c-free-choice-no,no
icel1247-nokkur-c-specific-known,c-specific-known,icel1247-nokkur,c-specific-known-no,no
icel1247-nokkur-c-specific-unknown,c-specific-unknown,icel1247-nokkur,c-specific-unknown-no,no
icel1247-nokkur-c-irrealis-nsp,c-irrealis-nsp,icel1247-nokkur,c-irrealis-nsp-no,no
icel1247-nokkur-c-question,c-question,icel1247-nokkur,c-question-yes,yes
icel1247-nokkur-c-conditional,c-conditional,icel1247-nokkur,c-conditional-no,no
icel1247-nokkur-c-indirect-negation,c-indirect-negation,icel1247-nokkur,c-indirect-negation-yes,yes
icel1247-nokkur-c-direct-negation,c-direct-negation,icel1247-nokkur,c-direct-negation-no,no
icel1247-nokkur-c-comparative,c-comparative,icel1247-nokkur,c-comparative-yes,yes
icel1247-nokkur-c-free-choice,c-free-choice,icel1247-nokkur,c-free-choice-no,no
icel1247-semer-c-specific-known,c-specific-known,icel1247-semer,c-specific-known-no,no
icel1247-semer-c-specific-unknown,c-specific-unknown,icel1247-semer,c-specific-unknown-no,no
icel1247-semer-c-irrealis-nsp,c-irrealis-nsp,icel1247-semer,c-irrealis-nsp-no,no
icel1247-semer-c-question,c-question,icel1247-semer,c-question-no,no
icel1247-semer-c-conditional,c-conditional,icel1247-semer,c-conditional-no,no
icel1247-semer-c-indirect-negation,c-indirect-negation,icel1247-semer,c-indirect-negation-no,no
icel1247-semer-c-direct-negation,c-direct-negation,icel1247-semer,c-direct-negation-no,no
icel1247-semer-c-comparative,c-comparative,icel1247-semer,c-comparative-no,no
icel1247-semer-c-free-choice,c-free-choice,icel1247-semer,c-free-choice-yes,yes
lati1261-ali--c-specific-known,c-specific-known,lati1261-ali-,c-specific-known-no,no
lati1261-ali--c-specific-unknown,c-specific-unknown,lati1261-ali-,c-specific-unknown-yes,yes
lati1261-ali--c-irrealis-nsp,c-irrealis-nsp,lati1261-ali-,c-irrealis-nsp-yes,yes
lati1261-ali--c-question,c-question,lati1261-ali-,c-question-yes,yes
lati1261-ali--c-conditional,c-conditional,lati1261-ali-,c-conditional-yes,yes
lati1261-ali--c-indirect-negation,c-indirect-negation,lati1261-ali-,c-indirect-negation-no,no
lati1261-ali--c-direct-negation,c-direct-negation,lati1261-ali-,c-direct-negation-no,no
lati1261-ali--c-comparative,c-comparative,lati1261-ali-,c-comparative-no,no
lati1261-ali--c-free-choice,c-free-choice,lati1261-ali-,c-free-choice-no,no
lati1261--dam-c-specific-known,c-specific-known,lati1261--dam,c-specific-known-yes,yes
lati1261--dam-c-specific-unknown,c-specific-unknown,lati1261--dam,c-specific-unknown-no,no
lati1261--dam-c-irrealis-nsp,c-irrealis-nsp,lati1261--dam,c-irrealis-nsp-no,no
lati1261--dam-c-question,c-question,lati1261--dam,c-question-no,no
lati1261--dam-c-conditional,c-conditional,lati1261--dam,c-conditional-no,no
lati1261--dam-c-indirect-negation,c-indirect-negation,lati1261--dam,c-indirect-negation-no,no
lati1261--dam-c-direct-negation,c-direct-negation,lati1261--dam,c-direct-negation-no,no
lati1261--dam-c-comparative,c-comparative,lati1261--dam,c-comparative-no,no
lati1261--dam-c-free-choice,c-free-choice,lati1261--dam,c-free-choice-no,no
lati1261--libet-c-specific-known,c-specific-known,lati1261--libet,c-specific-known-no,no
lati1261--libet-c-specific-unknown,c-specific-unknown,lati1261--libet,c-specific-unknown-no,no
lati1261--libet-c-irrealis-nsp,c-irrealis-nsp,lati1261--libet,c-irrealis-nsp-no,no
lati1261--libet-c-question,c-question,lati1261--libet,c-question-no,no
lati1261--libet-c-conditional,c-conditional,lati1261--libet,c-conditional-no,no
lati1261--libet-c-indirect-negation,c-indirect-negation,lati1261--libet,c-indirect-negation-no,no
lati1261--libet-c-direct-negation,c-direct-negation,lati1261--libet,c-direct-negation-no,no
lati1261--libet-c-comparative,c-comparative,lati1261--libet,c-comparative-no,no
lati1261--libet-c-free-choice,c-free-choice,lati1261--libet,c-free-choice-yes,yes
lati1261-n--c-specific-known,c-specific-known,lati1261-n-,c-specific-known-no,no
lati1261-n--c-specific-unknown,c-specific-unknown,lati1261-n-,c-specific-unknown-no,no
lati1261-n--c-irrealis-nsp,c-irrealis-nsp,lati1261-n-,c-irrealis-nsp-no,no
lati1261-n--c-question,c-question,lati1261-n-,c-question-no,no
lati1261-n--c-conditional,c-conditional,lati1261-n-,c-conditional-no,no
lati1261-n--c-indirect-negation,c-indirect-negation,lati1261-n-,c-indirect-negation-no,no
lati1261-n--c-direct-negation,c-direct-negation,lati1261-n-,c-direct-negation-yes,yes
lati1261-n--c-comparative,c-comparative,lati1261-n-,c-comparative-no,no
lati1261-n--c-free-choice,c-free-choice,lati1261-n-,c-free-choice-no,no
lati1261--quam-c-specific-known,c-specific-known,lati1261--quam,c-specific-known-no,no
lati1261--quam-c-specific-unknown,c-specific-unknown,lati1261--quam,c-specific-unknown-no,no
lati1261--quam-c-irrealis-nsp,c-irrealis-nsp,lati1261--quam,c-irrealis-nsp-no,no
lati1261--quam-c-question,c-question,lati1261--quam,c-question-yes,yes
lati1261--quam-c-conditional,c-conditional,lati1261--quam,c-conditional-yes,yes
lati1261--quam-c-indirect-negation,c-indirect-negation,lati1261--quam,c-indirect-negation-yes,yes
lati1261--quam-c-direct-negation,c-direct-negation,lati1261--quam,c-direct-negation-no,no
lati1261--quam-c-comparative,c-comparative,lati1261--quam,c-comparative-yes,yes
lati1261--quam-c-free-choice,c-free-choice,lati1261--quam,c-free-choice-no,no
lati1261--vis-c-specific-known,c-specific-known,lati1261--vis,c-specific-known-no,no
lati1261--vis-c-specific-unknown,c-specific-unknown,lati1261--vis,c-specific-unknown-no,no
lati1261--vis-c-irrealis-nsp,c-irrealis-nsp,lati1261--vis,c-irrealis-nsp-no,no
lati1261--vis-c-question,c-question,lati1261--vis,c-question-no,no
lati1261--vis-c-conditional,c-conditional,lati1261--vis,c-conditional-no,no
lati1261--vis-c-indirect-negation,c-indirect-negation,lati1261--vis,c-indirect-negation-no,no
lati1261--vis-c-direct-negation,c-direct-negation,lati1261--vis,c-direct-negation-no,no
lati1261--vis-c-comparative,c-comparative,lati1261--vis,c-comparative-no,no
lati1261--vis-c-free-choice,c-free-choice,lati1261--vis,c-free-choice-yes,yes
port1283-alg--c-specific-known,c-specific-known,port1283-alg-,c-specific-known-yes,yes
port1283-alg--c-specific-unknown,c-specific-unknown,port1283-alg-,c-specific-unknown-yes,yes
port1283-alg--c-irrealis-nsp,c-irrealis-nsp,port1283-alg-,c-irrealis-nsp-yes,yes
port1283-alg--c-question,c-question,port1283-alg-,c-question-yes,yes
port1283-alg--c-conditional,c-conditional,port1283-alg-,c-conditional-yes,yes
port1283-alg--c-indirect-negation,c-indirect-negation,port1283-alg-,c-indirect-negation-no,no
port1283-alg--c-direct-negation,c-direct-negation,port1283-alg-,c-direct-negation-no,no
port1283-alg--c-comparative,c-comparative,port1283-alg-,c-comparative-no,no
port1283-alg--c-free-choice,c-free-choice,port1283-alg-,c-free-choice-no,no
port1283-n--c-specific-known,c-specific-known,port1283-n-,c-specific-known-no,no
port1283-n--c-specific-unknown,c-specific-unknown,port1283-n-,c-specific-unknown-no,no
port1283-n--c-irrealis-nsp,c-irrealis-nsp,port1283-n-,c-irrealis-nsp-no,no
port1283-n--c-question,c-question,port1283-n-,c-question-no,no
port1283-n--c-conditional,c-conditional,port1283-n-,c-conditional-no,no
port1283-n--c-indirect-negation,c-indirect-negation,port1283-n-,c-indirect-negation-yes,yes
port1283-n--c-direct-negation,c-direct-negation,port1283-n-,c-direct-negation-yes,yes
port1283-n--c-comparative,c-comparative,port1283-n-,c-comparative-no,no
port1283-n--c-free-choice,c-free-choice,port1283-n-,c-free-choice-no,no
port1283-qualquer-c-specific-known,c-specific-known,port1283-qualquer,c-specific-known-no,no
port1283-qualquer-c-specific-unknown,c-specific-unknown,port1283-qualquer,c-specific-unknown-yes,yes
port1283-qualquer-c-irrealis-nsp,c-irrealis-nsp,port1283-qualquer,c-irrealis-nsp-yes,yes
port1283-qualquer-c-question,c-question,port1283-qualquer,c-question-yes,yes
port1283-qualquer-c-conditional,c-conditional,port1283-qualquer,c-conditional-yes,yes
port1283-qualquer-c-indirect-negation,c-indirect-negation,port1283-qualquer,c-indirect-negation-yes,yes
port1283-qualquer-c-direct-negation,c-direct-negation,port1283-qualquer,c-direct-negation-yes,yes
port1283-qualquer-c-comparative,c-comparative,port1283-qualquer,c-comparative-yes,yes
port1283-qualquer-c-free-choice,c-free-choice,port1283-qualquer,c-free-choice-yes,yes
stan1289-algun-c-specific-known,c-specific-known,stan1289-algun,c-specific-known-yes,yes
stan1289-algun-c-specific-unknown,c-specific-unknown,stan1289-algun,c-specific-unknown-yes,yes
stan1289-algun-c-irrealis-nsp,c-irrealis-nsp,stan1289-algun,c-irrealis-nsp-yes,yes
stan1289-algun-c-question,c-question,stan1289-algun,c-question-yes,yes
stan1289-algun-c-conditional,c-conditional,stan1289-algun,c-conditional-yes,yes
stan1289-algun-c-indirect-negation,c-indirect-negation,stan1289-algun,c-indirect-negation-yes,yes
stan1289-algun-c-direct-negation,c-direct-negation,stan1289-algun,c-direct-negation-no,no
stan1289-algun-c-comparative,c-comparative,stan1289-algun,c-comparative-no,no
stan1289-algun-c-free-choice,c-free-choice,stan1289-algun,c-free-choice-no,no
stan1289-cap-c-specific-known,c-specific-known,stan1289-cap,c-specific-known-no,no
stan1289-cap-c-specific-unknown,c-specific-unknown,stan1289-cap,c-specific-unknown-no,no
stan1289-cap-c-irrealis-nsp,c-irrealis-nsp,stan1289-cap,c-irrealis-nsp-no,no
stan1289-cap-c-question,c-question,stan1289-cap,c-question-yes,yes
stan1289-cap-c-conditional,c-conditional,stan1289-cap,c-conditional-yes,yes
stan1289-cap-c-indirect-negation,c-indirect-negation,stan1289-cap,c-indirect-negation-yes,yes
stan1289-cap-c-direct-negation,c-direct-negation,stan1289-cap,c-direct-negation-yes,yes
stan1289-cap-c-comparative,c-comparative,stan1289-cap,c-comparative-yes,yes
stan1289-cap-c-free-choice,c-free-choice,stan1289-cap,c-free-choice-no,no
stan1289-qualsevol-c-specific-known,c-specific-known,stan1289-qualsevol,c-specific-known-no,no
stan1289-qualsevol-c-specific-unknown,c-specific-unknown,stan1289-qualsevol,c-specific-unknown-no,no
stan1289-qualsevol-c-irrealis-nsp,c-irrealis-nsp,stan1289-qualsevol,c-irrealis-nsp-no,no
stan1289-qualsevol-c-question,c-question,stan1289-qualsevol,c-question-no,no
stan1289-qualsevol-c-conditional,c-conditional,stan1289-qualsevol,c-conditional-no,no
stan1289-qualsevol-c-indirect-negation,c-indirect-negation,stan1289-qualsevol,c-indirect-negation-no,no
stan1289-qualsevol-c-direct-negation,c-direct-negation,stan1289-qualsevol,c-direct-negation-no,no
stan1289-qualsevol-c-comparative,c-comparative,stan1289-qualsevol,c-comparative-yes,yes
stan1289-qualsevol-c-free-choice,c-free-choice,stan1289-qualsevol,c-free-choice-yes,yes
stan1290-nimporte-c-specific-known,c-specific-known,stan1290-nimporte,c-specific-known-no,no
stan1290-nimporte-c-specific-unknown,c-specific-unknown,stan1290-nimporte,c-specific-unknown-no,no
stan1290-nimporte-c-irrealis-nsp,c-irrealis-nsp,stan1290-nimporte,c-irrealis-nsp-no,no
stan1290-nimporte-c-question,c-question,stan1290-nimporte,c-question-no,no
stan1290-nimporte-c-conditional,c-conditional,stan1290-nimporte,c-conditional-no,no
stan1290-nimporte-c-indirect-negation,c-indirect-negation,stan1290-nimporte,c-indirect-negation-no,no
stan1290-nimporte-c-direct-negation,c-direct-negation,stan1290-nimporte,c-direct-negation-no,no
stan1290-nimporte-c-comparative,c-comparative,stan1290-nimporte,c-comparative-yes,yes
stan1290-nimporte-c-free-choice,c-free-choice,stan1290-nimporte,c-free-choice-yes,yes
stan1290-personne-c-specific-known,c-specific-known,stan1290-personne,c-specific-known-no,no
stan1290-personne-c-specific-unknown,c-specific-unknown,stan1290-personne,c-specific-unknown-no,no
stan1290-personne-c-irrealis-nsp,c-irrealis-nsp,stan1290-personne,c-irrealis-nsp-no,no
stan1290-personne-c-question,c-question,stan1290-personne,c-question-yes,yes
stan1290-personne-c-conditional,c-conditional,stan1290-personne,c-conditional-yes,yes
stan1290-personne-c-indirect-negation,c-indirect-negation,stan1290-personne,c-indirect-negation-yes,yes
stan1290-personne-c-direct-negation,c-direct-negation,stan1290-personne,c-direct-negation-yes,yes
stan1290-personne-c-comparative,c-comparative,stan1290-personne,c-comparative-yes,yes
stan1290-personne-c-free-choice,c-free-choice,stan1290-personne,c-free-choice-no,no
stan1290-quecesoit-c-specific-known,c-specific-known,stan1290-quecesoit,c-specific-known-no,no
stan1290-quecesoit-c-specific-unknown,c-specific-unknown,stan1290-quecesoit,c-specific-unknown-no,no
stan1290-quecesoit-c-irrealis-nsp,c-irrealis-nsp,stan1290-quecesoit,c-irrealis-nsp-no,no
stan1290-quecesoit-c-question,c-question,stan1290-quecesoit,c-question-yes,yes
stan1290-quecesoit-c-conditional,c-conditional,stan1290-quecesoit,c-conditional-yes,yes
stan1290-quecesoit-c-indirect-negation,c-indirect-negation,stan1290-quecesoit,c-indirect-negation-yes,yes
stan1290-quecesoit-c-direct-negation,c-direct-negation,stan1290-quecesoit,c-direct-negation-yes,yes
stan1290-quecesoit-c-comparative,c-comparative,stan1290-quecesoit,c-comparative-yes,yes
stan1290-quecesoit-c-free-choice,c-free-choice,stan1290-quecesoit,c-free-choice-yes,yes
stan1290-quelque-c-specific-known,c-specific-known,stan1290-quelque,c-specific-known-yes,yes
stan1290-quelque-c-specific-unknown,c-specific-unknown,stan1290-quelque,c-specific-unknown-yes,yes
stan1290-quelque-c-irrealis-nsp,c-irrealis-nsp,stan1290-quelque,c-irrealis-nsp-yes,yes
stan1290-quelque-c-question,c-question,stan1290-quelque,c-question-yes,yes
stan1290-quelque-c-conditional,c-conditional,stan1290-quelque,c-conditional-yes,yes
stan1290-quelque-c-indirect-negation,c-indirect-negation,stan1290-quelque,c-indirect-negation-no,no
stan1290-quelque-c-direct-negation,c-direct-negation,stan1290-quelque,c-direct-negation-no,no
stan1290-quelque-c-comparative,c-comparative,stan1290-quelque,c-comparative-no,no
stan1290-quelque-c-free-choice,c-free-choice,stan1290-quelque,c-free-choice-no,no
ital1282-nessuno-c-specific-known,c-specific-known,ital1282-nessuno,c-specific-known-no,no
