ID,Parameter_ID,Construction_ID,Code_ID,Value
stan1295-etwas-c-specific-known,c-specific-known,stan1295-etwas,c-specific-known-yes,yes
stan1295-etwas-c-specific-unknown,c-specific-unknown,stan1295-etwas,c-specific-unknown-yes,yes
stan1295-etwas-c-irrealis-nsp,c-irrealis-nsp,stan1295-etwas,c-irrealis-nsp-yes,yes
stan1295-etwas-c-question,c-question,stan1295-etwas,c-question-yes,yes
stan1295-etwas-c-conditional,c-conditional,stan1295-etwas,c-conditional-yes,yes
stan1295-etwas-c-indirect-negation,c-indirect-negation,stan1295-etwas,c-indirect-negation-yes,yes
stan1295-etwas-c-direct-negation,c-direct-negation,stan1295-etwas,c-direct-negation-no,no
stan1295-etwas-c-comparative,c-comparative,stan1295-etwas,c-comparative-no,no
stan1295-etwas-c-free-choice,c-free-choice,stan1295-etwas,c-free-choice-no,no
stan1295-irgend-c-specific-known,c-specific-known,stan1295-irgend,c-specific-known-no,no
stan1295-irgend-c-specific-unknown,c-specific-unknown,stan1295-irgend,c-specific-unknown-yes,yes
stan1295-irgend-c-irrealis-nsp,c-irrealis-nsp,stan1295-irgend,c-irrealis-nsp-yes,yes
stan1295-irgend-c-question,c-question,stan1295-irgend,c-question-yes,yes
stan1295-irgend-c-conditional,c-conditional,stan1295-irgend,c-conditional-yes,yes
stan1295-irgend-c-indirect-negation,c-indirect-negation,stan1295-irgend,c-indirect-negation-yes,yes
stan1295-irgend-c-direct-negation,c-direct-negation,stan1295-irgend,c-direct-negation-no,no
stan1295-irgend-c-comparative,c-comparative,stan1295-irgend,c-comparative-yes,yes
stan1295-irgend-c-free-choice,c-free-choice,stan1295-irgend,c-free-choice-yes,yes
stan1295-je-c-specific-known,c-specific-known,stan1295-je,c-specific-known-no,no
stan1295-je-c-specific-unknown,c-specific-unknown,stan1295-je,c-specific-unknown-no,no
stan1295-je-c-irrealis-nsp,c-irrealis-nsp,stan1295-je,c-irrealis-nsp-no,no
stan1295-je-c-question,c-question,stan1295-je,c-question-yes,yes
stan1295-je-c-conditional,c-conditional,stan1295-je,c-conditional-yes,yes
stan1295-je-c-indirect-negation,c-indirect-negation,stan1295-je,c-indirect-negation-yes,yes
stan1295-je-c-direct-negation,c-direct-negation,stan1295-je,c-direct-negation-no,no
stan1295-je-c-comparative,c-comparative,stan1295-je,c-comparative-yes,yes
stan1295-je-c-free-choice,c-free-choice,stan1295-je,c-free-choice-no,no
stan1295-jeder-c-specific-known,c-specific-known,stan1295-jeder,c-specific-known-no,no
stan1295-jeder-c-specific-unknown,c-specific-unknown,stan1295-jeder,c-specific-unknown-no,no
