ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,Source_comment
apam1237,Ancash Quechua,,,,apam1237,,,"Hernán Aguilar, p.c."
basq1248,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,saltarelli1988;aulestia1989,"Karmele Rotaetxe, José Hualde, p.c."
bulg1262,Bulgarian,Eurasia,43.3646,25.047,bulg1262,bul,blazev1980;donceva1970;dogramadzieva1974;mostovska1988;kirova1986;nicolova1972;nicolova1978;nicolova1986;guentcheva1981,"Tania Kuteva, Pavlina Vlajkova, p.c."
dutc1256,Dutch,Eurasia,52.0,5.0,dutc1256,nld,geerts1984;paardekooper1978;paardekooper1979,"Leon Stassen, Kees Hengeveld, Jan Rijkhoff (p.c.)"
finn1318,Finnish,Eurasia,64.7628,25.5577,finn1318,fin,,"Juhani Rudanko, Angela Bartens, Hannu Tommola, p.c."
haus1257,Hausa,Africa,11.1513,8.7804,haus1257,hau,manewman1990;attouman1984;abraham1946,"Marit Lobben, p.c."
hebr1245,Hebrew,Eurasia,31.1056,35.0179,hebr1245,heb,glinert1982;glinert1989,"David Gil, p.c."
hind1269,Hindi/Urdu,Eurasia,25.0,77.0,hind1269,hin,bhatia1978;davison1978b;davison1978a;mahajan1990,"Sangeeta Sharma, p.c."
hung1274,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,stephanides1983;stephanides1985;hunyadi1987,"Edith Moravcsik, p.c."
icel1247,Icelandic,Eurasia,63.4837,-19.0212,icel1247,isl,,"Halldór Sigurðsson, p.c."
iris1253,Irish,Eurasia,53.2186,-7.61509,iris1253,gle,de_bhaldraithe1959;o_donaill1977,"Dónall P. Ó Baoill, p.c."
ital1282,Italian,Eurasia,43.0464,12.6489,ital1282,ita,,"Paolo Ramat, Davide Ricca, p.c."
kaza1248,Kazakh,Eurasia,51.17,71.454,kaza1248,kaz,sauranbaev1954,"Kusain Rsaldinov, p.c."
kore1280,Korean,Eurasia,37.54,126.98,kore1280,kor,martin1986;chang1994,"Hee-Rahk Chae, Kyu-Ryun Choi, and Du-Pyo Hong, p.c."
lati1261,Latin,Eurasia,41.9026,12.4502,lati1261,lat,orlandini1981;orlandini1983;hahn1933;mellet1992;mellet1994;kuehner1914;serbat1985,
latv1249,Latvian,Eurasia,56.826108,24.309118,latv1249,lav,,"Ivonna Wagner, p.c."
lezg1247,Lezgian,Eurasia,41.5157,47.8951,lezg1247,lez,haspelmath1993,
lith1251,Lithuanian,Eurasia,55.1429,23.9601,lith1251,lit,pilka1984;ambrazas1985,"Emma Geniušienė, Greta Lemanaitė, p.c."
malt1254,Maltese,Eurasia,35.8884,14.4508,malt1254,mlt,haspelmath1996,
mand1415,Chinese,Eurasia,40.0209,116.228,mand1415,cmn,li1992;li1981;tsai1990,"Fengxiang Li, Wenfang Zhang, p.c."
mode1248,Modern Greek,Eurasia,38.36,23.13,mode1248,ell,veloudis1982;dhelverudhi1989;giannakidou1993;giannakidou1994a;giannakidou1994b;tsimpli1993,"Anastasia Christofidou, Soteria Svorou, Axel Theofilidis, Artemis Alexiadou, p.c."
nana1257,Nanay,Eurasia,48.43426,134.79726,nana1257,gld,onenko1980;onenko1986,
nucl1301,Turkish,Eurasia,39.8667,32.8667,nucl1301,tur,xovratovic1989,"Fethi Inan, p.c."
nucl1302,Georgian,Eurasia,41.850397,43.78613,nucl1302,kat,tschenkeli1958;vogt1971,"Revaz Tchantouria, Winfried Boeder, p.c."
nucl1305,Kannada,Eurasia,13.5878,76.1198,nucl1305,kan,bhat1981;sridhar1990,"Anilkumar Belvadi,  D.N.S. Bhat, p.c."
nucl1643,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,mcgloin1976;ohno1984,"Masa Koizumi, Yoshiko Ono, p.c."
osse1243,Ossetic,Eurasia,42.98,44.61,osse1243,,kulaev1958;axvlediani1963;bagaev1965,"Zarema Xubecova, p.c."
poli1260,Polish,Eurasia,51.8439,18.6255,poli1260,pol,grzegorczykowa1972,"Thomas H. Bak, p.c."
port1283,Portuguese,Eurasia,39.91,-8.1,port1283,por,,"Lourenço C. Finatti, p.c."
roma1327,Romanian,Eurasia,46.3913,24.2256,roma1327,ron,berea1980;graur1939;manoliu-manea1966,"Beatrice Primus, p.c."
russ1263,Russian,Eurasia,59.0,50.0,russ1263,rus,galkina-fedoruk1963;veyrenc1964;rybak1965;rybak1975;dahl1970;malovickij1971;ruzicka1973;paduceva1974;paduceva1985;seliverstova1964;seliverstova1988,"Maria Koptjevskaja-Tamm, Vera Podlesskaya, Elena Kalinina, p.c."
sout1528,Serbo-Croatian,Eurasia,44.15,18.81,sout1528,hbs,progovac1988;progovac1990;progovac1991;progovac1992;progovac1994,
stan1289,Catalan,Eurasia,41.453,1.569,stan1289,cat,lleo1983;esposito1988;hualde1992;sola1973,
stan1290,French,Eurasia,48.0,2.0,stan1290,fra,gaatone1971;culioli1983,
stan1293,English,Eurasia,53.0,-1.0,stan1293,eng,sahlin1979;tesch1990,
stan1295,German,Eurasia,48.649,12.4676,stan1295,deu,,personal knowledge
swah1253,Swahili,Africa,-8.25605,37.624,swah1253,swh,,
swed1254,Swedish,Eurasia,59.800634,17.389526,swed1254,swe,,Östen Dahl (p.c.)
west2369,Persian,Eurasia,32.9,53.3,west2369,pes,,"Parviz Rostampour, p.c."
yaku1245,Yakut,Eurasia,61.69744,133.98031,yaku1245,sah,afanasev1968;ubrjatova1982,
