ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_IDs
icel1247-l-indirect-negation,icel1247,l-indirect-negation,enginn / n- / nokkur / sem er / ein-,,,,icel1247-7;icel1247-9
icel1247-l-direct-negation,icel1247,l-direct-negation,enginn / n- / nokkur / sem er / ein-,,,,icel1247-8
icel1247-l-comparative,icel1247,l-comparative,enginn / n- / nokkur / sem er / ein-,,,,icel1247-6
icel1247-l-free-choice,icel1247,l-free-choice,enginn / n- / nokkur / sem er / ein-,,,,icel1247-10
lati1261-l-specific-known,lati1261,l-specific-known,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-1
lati1261-l-specific-unknown,lati1261,l-specific-unknown,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-2
lati1261-l-irrealis-nsp,lati1261,l-irrealis-nsp,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-3
lati1261-l-question,lati1261,l-question,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-4;lati1261-5;lati1261-8
lati1261-l-conditional,lati1261,l-conditional,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-6;lati1261-7;lati1261-9
lati1261-l-indirect-negation,lati1261,l-indirect-negation,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-11
lati1261-l-direct-negation,lati1261,l-direct-negation,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-12;lati1261-13
lati1261-l-comparative,lati1261,l-comparative,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-10
lati1261-l-free-choice,lati1261,l-free-choice,ali- / -dam / -libet / n- / -quam / -vis,,,,lati1261-14;lati1261-15
port1283-l-specific-known,port1283,l-specific-known,alg- / n- / qualquer,,,,port1283-1
port1283-l-specific-unknown,port1283,l-specific-unknown,alg- / n- / qualquer,,,,port1283-2;port1283-3
port1283-l-irrealis-nsp,port1283,l-irrealis-nsp,alg- / n- / qualquer,,,,port1283-4
port1283-l-question,port1283,l-question,alg- / n- / qualquer,,,,port1283-5
port1283-l-conditional,port1283,l-conditional,alg- / n- / qualquer,,,,port1283-6
port1283-l-indirect-negation,port1283,l-indirect-negation,alg- / n- / qualquer,,,,port1283-9
port1283-l-direct-negation,port1283,l-direct-negation,alg- / n- / qualquer,,,,port1283-10;port1283-11
port1283-l-comparative,port1283,l-comparative,alg- / n- / qualquer,,,,port1283-7
port1283-l-free-choice,port1283,l-free-choice,alg- / n- / qualquer,,,,port1283-8
stan1289-l-specific-known,stan1289,l-specific-known,algun / cap / qualsevol,,,,stan1289-1
stan1289-l-specific-unknown,stan1289,l-specific-unknown,algun / cap / qualsevol,,,,stan1289-1
stan1289-l-irrealis-nsp,stan1289,l-irrealis-nsp,algun / cap / qualsevol,,,,stan1289-2
stan1289-l-question,stan1289,l-question,algun / cap / qualsevol,,,,stan1289-3
stan1289-l-conditional,stan1289,l-conditional,algun / cap / qualsevol,,,,stan1289-4
stan1289-l-indirect-negation,stan1289,l-indirect-negation,algun / cap / qualsevol,,,,stan1289-5
stan1289-l-direct-negation,stan1289,l-direct-negation,algun / cap / qualsevol,,,,stan1289-6;stan1289-7
stan1289-l-comparative,stan1289,l-comparative,algun / cap / qualsevol,,,,stan1289-8
stan1289-l-free-choice,stan1289,l-free-choice,algun / cap / qualsevol,,,,stan1289-9
