ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_IDs
lezg1247-l-specific-known,lezg1247,l-specific-known,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-1
lezg1247-l-specific-unknown,lezg1247,l-specific-unknown,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-2
lezg1247-l-irrealis-nsp,lezg1247,l-irrealis-nsp,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-3
lezg1247-l-question,lezg1247,l-question,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-5
lezg1247-l-conditional,lezg1247,l-conditional,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-4
lezg1247-l-indirect-negation,lezg1247,l-indirect-negation,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-9
lezg1247-l-direct-negation,lezg1247,l-direct-negation,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-8
lezg1247-l-comparative,lezg1247,l-comparative,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-7
lezg1247-l-free-choice,lezg1247,l-free-choice,sa WH jat'ani / sa X-ni / xajit'ani,,,,lezg1247-6
malt1254-l-specific-known,malt1254,l-specific-known,ebda / xi,,,,malt1254-1
malt1254-l-specific-unknown,malt1254,l-specific-unknown,ebda / xi,,,,malt1254-1
malt1254-l-irrealis-nsp,malt1254,l-irrealis-nsp,ebda / xi,,,,malt1254-2
malt1254-l-question,malt1254,l-question,ebda / xi,,,,malt1254-4
malt1254-l-conditional,malt1254,l-conditional,ebda / xi,,,,malt1254-3
malt1254-l-indirect-negation,malt1254,l-indirect-negation,ebda / xi,,,,malt1254-6
malt1254-l-direct-negation,malt1254,l-direct-negation,ebda / xi,,,,malt1254-7
malt1254-l-comparative,malt1254,l-comparative,ebda / xi,,,,malt1254-5
malt1254-l-free-choice,malt1254,l-free-choice,ebda / xi,,,,
hebr1245-l-specific-known,hebr1245,l-specific-known,af/sum / is / kol / sehu,,,,hebr1245-1
