ID,Parameter_ID,Name,Description
c-specific-known-no,c-specific-known,no,
c-specific-known-yes,c-specific-known,yes,
c-specific-unknown-no,c-specific-unknown,no,
c-specific-unknown-yes,c-specific-unknown,yes,
c-irrealis-nsp-no,c-irrealis-nsp,no,
c-irrealis-nsp-yes,c-irrealis-nsp,yes,
c-question-no,c-question,no,
c-question-yes,c-question,yes,
c-conditional-no,c-conditional,no,
c-conditional-yes,c-conditional,yes,
c-indirect-negation-no,c-indirect-negation,no,
c-indirect-negation-yes,c-indirect-negation,yes,
c-direct-negation-no,c-direct-negation,no,
c-direct-negation-yes,c-direct-negation,yes,
c-comparative-no,c-comparative,no,
c-comparative-yes,c-comparative,yes,
c-free-choice-no,c-free-choice,no,
c-free-choice-yes,c-free-choice,yes,
